spot,Genebank,Description,Cluster,Tissue specificity,,ST3F F9,ST3F F14,ST3F F15,ST3F F32,Gc3Fb,Gc3Fa,Gc3Fc,Gl3Fa,Gl3Fb,Gl3Fd,LQ15,LQ18,LQ21,HQ28,HQ29,HQ3,HQ26
37958,AM867542,0,1,,somatic,1.149519211,1.028358601,1.191395857,1.110768976,0.97763614,1.078055685,1.349742394,1.043884087,0.938773562,1.068113592,0.00497281,0.01369,-0.167583018,-0.546544024,-0.445160576,-0.291789952,-0.268011646
38671,FP006096,0,1,,oocytes,1.033807262,0.866287914,1.004243736,0.947459781,1.000291139,0.980209492,1.300356206,0.951274944,1.127670544,1.405692403,1.70059899,1.5945644,1.533242469,1.637248361,1.603116497,1.641753103,1.624564099
38706,CU998753,0,1,,somatic,0.613308443,0.693961753,0.472230798,0.682194332,0.587450701,0.823365955,0.685262206,0.434341647,0.58011907,0.378523146,-0.318215197,-0.249586299,-0.230502309,-0.274133376,-0.474093027,-0.346962064,-0.420517908
39977,EW777385,0,1,,somatic,0.475414785,0.621552561,0.613695197,0.614262767,0.371537089,0.583065207,0.902538477,0.483370922,0.477812283,0.457262414,-1.62736421,-1.115818993,-1.513299135,-1.722319446,-1.071982021,-1.147068211,-1.324058218
40268,BQ426535,0,1,,somatic,0.258569159,0.045247914,-0.14587701,0.064728261,0.143270028,0.460891064,0.049469175,0.081602487,-0.010213534,-0.167038045,-1.133406798,-0.647522557,-0.704156303,-0.706708712,-0.462156294,-0.735161894,-0.718966236
40510,CU999247,0,1,,somatic,0.796270369,0.641705884,0.50081522,0.680544856,0.687083655,0.940793486,0.730415056,0.629528523,0.636308606,0.383695256,-0.587450839,-0.278025488,-0.772612361,-0.944462339,-1.215721918,-0.723125412,-1.006968746
41071,FP006873,0,1,,somatic,0.654999571,0.791620774,0.7029483,0.650014515,0.510792992,0.823496465,0.842523913,0.68994996,0.755620841,0.348957024,0.008971166,0.028367901,0.038837928,0.066717795,-0.219804754,-0.074541674,0.010460971
41424,FP004061,0,1,,somatic,1.394830137,1.346023159,1.08522333,1.394760007,1.429533198,1.523084606,1.351092509,1.314330514,1.222286087,1.269195979,-0.206240237,-0.201310296,-0.346176422,-0.39300803,-0.56501752,-0.292658365,-0.274784692
41921,CU685964,0,1,,somatic,1.34486363,1.496025382,1.510241396,1.445723116,1.31486648,1.409512942,1.302938655,1.447403675,1.392912104,1.272154121,0.793254511,0.676868899,0.836059288,0.989567078,0.965092836,0.947436739,0.854848038
42187,CU685868,0,1,adductor muscle,somatic,-0.055579136,0.039457892,0.155774154,0.10304298,-0.171679306,0.135334617,0.297037289,-0.008545966,0.017766902,-0.123279177,-0.649220002,-0.58690532,-0.756642522,-0.714948443,-0.782319253,-0.679301444,-0.914933059
42679,FP005906,0,1,,somatic,0.434633066,0.425223335,0.27129737,0.407130657,0.346565409,0.698108574,0.623644479,0.345938232,0.287143393,0.157477516,-0.695289546,-1.23691059,-1.264097673,-1.5843958,-1.460401398,-0.927051614,-1.256322083
43262,CU989574,0,1,,somatic,1.681097337,1.833892895,1.43643928,1.823391704,1.726856347,1.886914561,1.699276607,1.67903623,1.703394255,1.440044299,0.965514026,0.88908274,0.720050291,0.772073539,0.42707883,0.992374832,0.807779153
43487,AM855961,(sp:O16011) Protein muscleblind OS=Drosophila melanogaster GN=mbl PE=1 SV=2,1,,somatic,0.382512153,0.535873243,0.308372806,0.506741825,0.483222577,0.663310047,0.268888808,0.440730863,0.407380196,0.052560806,-0.549976448,-0.490529214,-0.597419138,-0.513474047,-0.778890789,-0.686830322,-0.341942449
43707,CU682876,0,1,,somatic,0.434553045,0.56689962,0.378082526,0.429280776,0.123486464,0.252194089,0.272964176,0.321159353,0.3351354,0.227123049,-0.16358905,-0.168570711,-0.271057772,-0.187247123,-0.045676198,-0.096710902,-0.24999078
43876,EE677593,0,1,,somatic,0.870864737,0.981489074,0.937286793,0.872494157,0.706525345,0.815497541,0.781761676,0.859232818,0.703031267,0.659189393,-0.142440223,-0.367853792,-0.201265673,0.068578001,0.012350027,-0.022557617,-0.075140959
43989,CU686296,0,1,,somatic,-0.091638744,-0.19077442,-0.126827282,-0.170684998,-0.34231471,-0.066134815,-0.174465794,-0.218359625,-0.308817523,-0.597618706,-1.255790186,-1.538895749,-1.513299135,-0.992462773,-1.351246557,-1.501661337,-1.703659564
860,DV736483,0,2,,oocytes,1.252049393,1.235127287,1.332631467,1.24854346,1.378002765,1.224909501,1.052598382,1.29758554,1.378387901,1.543932265,1.943665007,1.796963596,1.728434122,1.856290965,1.681816843,1.842081487,1.722894056
1327,CU994191,(sp:O88576) Sodium-dependent neutral amino acid transporter B(0)AT3 OS=Mus musculus GN=Slc6a18 PE=2 SV=1,2,,oocytes,1.496171073,1.176930286,1.459319353,1.245006466,1.437762267,0.969012926,1.52592135,1.274998249,1.577684799,1.953717401,2.364654588,2.405389477,2.219585404,2.14109854,2.283888385,2.261717936,2.047988555
1367,DV736865,0,2,,oocytes,1.148331544,1.169655766,1.120139327,1.321490611,1.160432949,1.209973694,1.061266314,1.204497561,1.234952369,1.487455183,1.705403994,1.622031767,1.457904244,1.534498777,1.588782328,1.675000886,1.494662275
1921,CU988374,0,2,,oocytes,2.301046824,2.313456376,2.401727813,2.172731838,2.373770895,2.254432318,2.384477826,2.334595088,2.377298867,2.435657713,2.638430841,2.63288173,2.602804683,2.580665085,2.738428241,2.562067429,2.525999323
2783,AM866108,0,2,,oocytes,0.363192168,0.286965228,0.370804829,0.174404688,0.365413202,0.290350885,0.372822732,0.346694073,0.401234935,0.533597169,1.028033458,0.733981021,0.846589273,0.772651496,0.716222881,0.781590417,0.795890141
3035,CU988540,0,2,,oocytes,1.646026989,1.475616345,1.614298864,1.460945085,1.62301597,1.348321532,1.67865799,1.521404656,1.566766609,1.907252862,2.344735994,2.221162027,2.139755824,2.078007128,2.251946902,2.209544211,2.035030473
3656,FP006365,0,2,,oocytes,1.212701827,1.253037587,1.290629124,1.154246209,1.372510436,1.281283687,1.528010238,1.280926644,1.4342223,1.630323745,2.086990674,2.009166906,1.848111575,1.710998371,1.932256673,1.803557198,1.829851458
4854,FP008026,(sp:Q8TBZ3) WD repeat-containing protein 20 OS=Homo sapiens GN=WDR20 PE=1 SV=2,2,female gonad,oocytes,0.646661587,0.763748548,0.844667401,0.728670186,0.808398606,0.603600356,0.860637519,0.78086816,0.590386104,1.165647553,1.459756582,1.394935396,1.433124707,1.411201001,1.302588743,1.487299585,1.290541347
5399,AM856027,(sp:Q6IE24) Inactive ubiquitin carboxyl-terminal hydrolase 54 OS=Rattus norvegicus GN=Usp54 PE=2 SV=2,2,,oocytes,0.244063297,0.282257917,0.379989167,0.280084002,0.256698858,0.193026316,0.410958258,0.37506188,0.360458875,0.683378719,0.916891786,0.906604149,0.950080737,0.733771127,0.686683796,0.848314641,0.720513134
5675,AM861576,0,2,,oocytes,0.906202583,1.049872675,0.918813207,0.938068125,0.893153754,0.85990283,0.90353452,0.961070295,1.043936958,1.068157888,1.31621503,1.32370163,1.346395623,1.326912587,1.277568546,1.369581803,1.156758719
6507,EX956437,(sp:Q62901) Arginine-glutamic acid dipeptide repeats protein OS=Rattus norvegicus GN=Rere PE=2 SV=2,2,female gonad,oocytes,1.127666236,1.196172297,1.303699773,1.091742981,1.178885114,1.109175026,1.47536573,1.178962702,1.201930356,1.308444365,1.84189215,1.757479193,1.720535856,1.695367859,1.733170608,1.648301345,1.701456844
6712,CU683250,0,2,,oocytes,1.418724289,1.46239519,1.594090135,1.472300757,1.429125328,1.187614668,1.469666322,1.38007629,1.562831547,1.761848542,2.132257486,2.090103876,2.068148825,1.90246273,2.225088398,2.074212853,1.842522937
7316,AM861751,0,2,,oocytes,1.177924959,1.307820937,1.347823432,1.336850472,1.425851218,1.296529274,1.503807322,1.291654279,1.309341513,1.455930753,1.905965836,1.762381535,1.793012849,1.588051427,1.812102443,1.689977588,1.746404701
10268,FP000141,(sp:Q62901) Arginine-glutamic acid dipeptide repeats protein OS=Rattus norvegicus GN=Rere PE=2 SV=2,2,female gonad,oocytes,1.790727407,1.752849884,1.832467824,1.732194717,1.795934795,1.673310965,2.074803173,1.706709789,1.864955924,1.846727924,2.407103541,2.336875894,2.247304395,2.261023639,2.406075594,2.191905523,2.263612223
10443,FP004695,0,2,,oocytes,0.830895435,0.706591225,0.771132462,0.790734966,0.790749221,0.675180502,0.8968123,0.850252961,0.853223438,1.014320711,1.560561021,1.198339796,1.283860856,1.331553947,1.20097679,1.377255899,1.34589864
12907,AM858052,(sp:Q5R9S6) Tetraspanin-8 OS=Pongo abelii GN=TSPAN8 PE=2 SV=1,2,,oocytes,0.975063823,0.524098565,0.90748699,0.687027649,0.827694099,0.519882459,1.10406467,0.791624137,0.970737559,1.200871524,1.35969206,1.585892585,1.563617263,1.483662873,1.348894767,1.606014159,1.504995136
13432,AM859142,(sp:Q9CUS9) Signal peptide peptidase-like 3 OS=Mus musculus GN=Sppl3 PE=2 SV=2,2,female gonad,oocytes,1.258557595,1.232234887,1.460893538,1.391495264,1.505152402,1.277209373,1.595860927,1.366856058,1.534681227,1.752272427,2.30675536,2.246205067,2.112647656,2.179735902,2.273989929,2.100132033,1.927181168
15257,AM854218,0,2,,oocytes,2.011792583,1.639036643,1.965643834,1.817622561,2.051742505,1.816438039,2.137011842,1.922652875,1.996126124,2.241619176,2.777601494,2.527416048,2.48531848,2.399032429,2.571711422,2.469172826,2.350098416
16449,AM855197,(sp:Q28181) Cyclic nucleotide-gated cation channel beta-1 OS=Bos taurus GN=CNGB1 PE=1 SV=1,2,,oocytes,1.419529142,1.258592389,1.347118274,1.25400618,1.214949398,1.008022687,1.477067582,1.157050231,1.381933651,1.66886964,1.946444198,2.054729451,1.926522208,1.845148568,1.860658533,1.997703743,1.662643913
17424,AM863929,(sp:Q9CUS9) Signal peptide peptidase-like 3 OS=Mus musculus GN=Sppl3 PE=2 SV=2,2,,oocytes,0.661966696,0.44649527,0.597372864,0.575340443,0.596713014,0.485485228,0.732137751,0.58098219,0.669235167,0.926334562,1.355754283,1.466347709,1.306101715,1.305985437,1.174741588,1.336725003,1.100893774
18739,DV736298,(sp:Q9PU85) Serine/threonine-protein kinase Pim-3 OS=Coturnix coturnix japonica GN=PIM3 PE=2 SV=1,2,,oocytes,2.527457772,2.184967632,2.421590615,2.316561361,2.595355005,2.382247977,2.621311871,2.444626131,2.521511595,2.435946195,3.030135463,3.05137179,2.809335148,2.925012337,3.190572425,2.912903529,2.909153381
19828,AM862743,0,2,female gonad,oocytes,1.886246133,1.769665012,1.866994866,1.774393038,1.900606522,1.65518484,2.11772029,1.853925041,1.994246828,2.203360847,2.453775368,2.398921507,2.395342111,2.342107547,2.533985001,2.368282129,2.202029505
22089,CX068871,(sp:Q9V8R9) Protein 4.1 homolog OS=Drosophila melanogaster GN=cora PE=1 SV=1,2,,oocytes,2.521233391,2.456912394,2.480089159,2.393297881,2.444966038,2.350119851,2.583644785,2.462625846,2.599202239,2.435934996,2.860513236,2.826668951,2.75955167,2.765231074,2.960952299,2.772911253,2.738936434
23658,CU984228,0,2,,oocytes,1.094408802,1.123038982,1.173881691,1.206110782,1.194291163,1.05639757,1.285017319,1.156071672,1.306362805,1.501677693,1.772130624,1.710262481,1.623766879,1.561020898,1.600544017,1.669814463,1.630357873
28582,CU984440,0,2,female gonad,oocytes,1.967463404,1.750639135,1.922598565,1.888689426,1.964610656,1.607656182,2.083316163,1.866582346,1.981465433,2.380249794,2.749841364,2.644045803,2.445105769,2.502251646,2.648931407,2.542777677,2.432752748
29603,AM862126,0,2,female gonad,oocytes,1.210377513,0.826507067,1.091051819,1.08629429,1.216297316,1.077078075,1.392165122,1.045437371,1.130248307,1.34427739,1.816628048,1.633960728,1.614883634,1.611014883,1.716319271,1.66918249,1.556633058
30499,AM864064,0,2,,oocytes,0.916156135,0.891774883,0.927661571,0.840292173,0.746802337,0.684867826,0.829272513,0.74970159,0.942529632,1.01401821,1.203002089,1.31606556,1.236595165,1.232909296,1.087261125,1.334957031,1.106142481
31236,AM864470,(sp:Q6ZVD7) Storkhead-box protein 1 OS=Homo sapiens GN=STOX1 PE=1 SV=2,2,female gonad,oocytes,1.128366697,1.276305411,1.25395133,1.312052225,1.243411322,1.096458922,1.51432493,1.295474811,1.387342335,1.641076671,2.001363965,1.935417998,1.903436812,1.749352424,1.875856911,1.849674969,1.805413738
32326,CU991449,0,2,female gonad,oocytes,1.656429627,1.548779427,1.635510653,1.558603585,1.668162399,1.44533855,1.791259891,1.647765391,1.692820068,1.881670036,2.208916611,2.096125847,2.088742798,2.082824594,2.144541287,2.058390709,2.031104475
32445,AM867303,0,2,,oocytes,1.018383082,0.992758222,1.10428322,1.066954317,1.00649637,0.781464433,0.882070085,0.943534874,1.11843068,1.371362917,1.649375941,1.593173058,1.55061856,1.536677637,1.514393862,1.606466423,1.337677021
32970,EW777683,(sp:Q00944) Focal adhesion kinase 1 OS=Gallus gallus GN=PTK2 PE=1 SV=2,2,,oocytes,1.967355159,1.773338675,1.975201393,1.91372388,1.891319015,1.645554014,2.020382691,1.888507511,2.104631214,2.294919103,2.486712909,2.53112372,2.374328488,2.394708078,2.574257119,2.45071211,2.308192629
33278,AM858171,0,2,,oocytes,2.288333638,2.197321698,2.329276834,2.241362537,2.326854839,2.167339028,2.515564571,2.320243047,2.387812567,2.435045267,2.668109441,2.580668434,2.652998966,2.631932289,2.774466993,2.561805796,2.643655856
36949,AM855576,(sp:Q9XZV3) Guanine nucleotide-binding protein G(o) subunit alpha OS=Geodia cydonium PE=2 SV=3,2,,oocytes,0.268760948,0.384475586,0.503794721,0.432958738,0.471909599,0.469788988,0.561367159,0.353758997,0.493070196,0.665552481,0.879432072,0.949290903,0.912957784,0.905994761,0.861499627,0.875695905,0.893316158
37007,AM857000,(sp:Q1LYM3) Protein spire homolog 1 OS=Danio rerio GN=spire1 PE=2 SV=1,2,,oocytes,0.388912209,0.222367677,0.273997498,0.227847957,0.214760413,0.162218042,0.370316856,0.25299645,0.435507655,0.488038101,0.781782128,0.862094912,0.642243461,0.730632254,0.656580992,0.714799488,0.641760798
38612,AM867467,0,2,,oocytes,0.770751509,0.690417608,0.681879457,0.784038268,0.756293157,0.699198499,0.768803452,0.767420629,0.753537766,0.796471352,0.931153306,1.06502715,1.007704965,1.036065043,1.031760017,1.038058156,1.103987251
39766,AJ535669,(sp:Q25410) Putative molluscan insulin-related peptide(s) receptor OS=Lymnaea stagnalis PE=2 SV=1,2,,oocytes,0.779281515,0.8956283,0.845714843,0.865528421,0.75636937,0.835782591,0.959272718,0.82220131,0.927770314,0.884740252,1.320268917,1.206432486,1.239839719,1.225518876,1.269966745,1.177428136,1.189130116
40500,FP008324,(sp:Q92038) Acyl-CoA desaturase OS=Cyprinus carpio PE=2 SV=2,2,,somatic,0.601604659,0.820809062,0.921033046,0.803832873,0.703792298,0.834310204,0.682360469,0.708627162,0.552462732,0.148113904,-0.131446106,0.081253103,-0.282266853,-0.306887324,-0.08597549,-0.328284832,-0.126487201
40605,AM855824,0,2,female gonad,oocytes,-0.084510396,-0.068585195,0.0226754,0.122094593,0.012995832,0.037837193,0.270312296,-0.035288928,0.145340025,0.150369178,0.824430519,0.706200576,0.638212451,0.51523774,0.442530547,0.55146053,0.554978848
41180,CU998140,0,2,,oocytes,1.442860827,1.292460137,1.370123248,1.408222705,1.357437376,1.093387557,1.389972143,1.27321499,1.494272062,1.835407538,1.894096376,1.915241785,1.991535847,1.956425632,2.122043458,1.945779348,1.80328533
41583,AM861820,(sp:P43249) G protein-coupled receptor kinase 5 OS=Bos taurus GN=GRK5 PE=2 SV=1,2,,oocytes,0.922313064,0.90351212,0.942218589,0.904101813,0.938201045,0.904253058,0.910524516,0.977335356,1.059891148,1.184038462,1.407110345,1.414678693,1.294270279,1.298565379,1.264636773,1.325055812,1.370675493
43029,AM859808,0,2,female gonad,oocytes,1.480441786,1.298483967,1.517904877,1.437791368,1.506604957,1.199063246,1.822504624,1.427700923,1.540401708,1.912357236,2.310959558,2.211149766,2.138858239,2.070175384,2.204993511,2.106019173,1.998299546
43761,AM858539,(sp:Q9XZV3) Guanine nucleotide-binding protein G(o) subunit alpha OS=Geodia cydonium PE=2 SV=3,2,,oocytes,1.056430162,1.048632124,1.138056732,1.102392387,1.128696082,1.06552027,1.337049535,1.029564252,1.176779563,1.316137979,1.609600591,1.586639587,1.489888608,1.534440636,1.751796757,1.46734447,1.514932874
43930,AM863659,0,2,,oocytes,2.199873055,2.035160028,2.232418688,2.162378151,2.152893856,1.988889454,2.289769786,2.165649866,2.363154072,2.432101165,2.799349123,2.699965264,2.611146284,2.679968744,2.838200818,2.605243889,2.581739751
44066,AM866550,0,2,female gonad,oocytes,1.058134739,1.200879752,1.323011311,1.235992403,1.330139788,1.2470139,1.240223357,1.246679129,1.372454936,1.413077228,1.936691814,1.830297138,1.629598515,1.749984418,1.81882286,1.68318279,1.799781008
44233,FP006462,(sp:Q8TCT6) Signal peptide peptidase-like 3 OS=Homo sapiens GN=SPPL3 PE=2 SV=1,2,female gonad,oocytes,0.817674124,0.560638487,0.794458159,0.845528978,0.878812338,0.666170881,0.87714361,0.81031214,0.946016527,1.218025604,1.575056414,1.662185479,1.488510336,1.537413228,1.555952894,1.506959919,1.256526999
44563,CX739658,0,2,,oocytes,1.20995992,1.171165207,1.278196271,1.277614264,1.161655974,0.962457032,1.072510892,1.188264431,1.222555015,1.572816781,1.873817841,1.906145237,1.802348396,1.650892897,1.737693879,1.888430302,1.580737583
65,AM863520,(sp:Q5R416) Catenin alpha-2 OS=Pongo abelii GN=CTNNA2 PE=2 SV=3,3,,oocytes,1.611989146,1.517124813,1.643185299,1.524797024,1.682786724,1.696485583,1.738989728,1.625980647,1.694329463,1.74883332,2.084470849,2.147616819,1.932972306,2.128122056,2.182048934,1.972635247,2.084162037
209,CU986455,0,3,,oocytes,0.481696302,0.301460923,0.653624288,0.387509937,0.627380931,0.285980083,0.360403124,0.510044495,0.403935739,0.90979017,1.231889228,1.242186201,1.261431198,1.314725243,1.27945945,1.341080913,1.026495082
1911,FP005482,0,3,,oocytes,2.293171695,2.340660092,2.27697272,2.161091231,2.352362031,2.229107768,2.375154528,2.302574964,2.362102936,2.411817429,2.724343318,2.751142289,2.681024792,2.659283117,2.882223521,2.694032512,2.604792364
2102,AM857424,(sp:Q5ZJI0) Protein-tyrosine sulfotransferase 2 OS=Gallus gallus GN=TPST2 PE=2 SV=1,3,female gonad,oocytes,0.835976901,0.837199657,0.829407844,0.769842772,0.963292457,0.770626847,0.813789248,0.824356609,0.996397376,1.003637472,1.465084974,1.52479345,1.246762394,1.380654713,1.277233631,1.355476802,1.346999151
2637,AM856777,(sp:Q86VS8) Protein Hook homolog 3 OS=Homo sapiens GN=HOOK3 PE=1 SV=2,3,,oocytes,0.938021972,0.893436787,1.035013235,0.861185018,0.984235446,0.942853378,1.082163464,0.978120664,0.970818538,1.18629895,1.555678129,1.598066227,1.394379368,1.438574578,1.410281962,1.500319208,1.479433379
3435,CU683559,(sp:Q8IY18) Structural maintenance of chromosomes protein 5 OS=Homo sapiens GN=SMC5 PE=1 SV=2,3,female gonad,oocytes,0.308155599,0.249355059,0.377739784,0.207129265,0.37321432,0.316642017,0.393130167,0.377666649,0.384083318,0.311859066,0.831005023,0.855713723,0.745592541,0.861743237,0.681201015,0.74649847,0.830908638
3573,FP002000,(sp:Q6AXZ4) Cep57-related protein OS=Rattus norvegicus GN=Cep57r PE=2 SV=1,3,,oocytes,1.808834511,1.957393531,1.808727605,1.655794582,1.94158557,1.865918873,2.192876319,1.946281956,1.942579572,2.027556993,2.703028971,2.648146453,2.500472144,2.592628387,2.720532853,2.580229827,2.684844874
3772,AM858663,(sp:Q5VYJ5) MAM and LDL-receptor class A domain-containing protein C10orf112 OS=Homo sapiens GN=C10orf112 PE=2 SV=3,3,,oocytes,1.128264521,0.906576691,1.201698589,1.042083221,1.244993885,0.855064649,1.076588592,1.141954199,1.290130414,1.269236404,1.688710328,1.749364282,1.608293079,1.804804721,1.725431994,1.704380859,1.51756211
3879,CU999660,(sp:Q8CG46) Structural maintenance of chromosomes protein 5 OS=Mus musculus GN=Smc5 PE=2 SV=1,3,female gonad,oocytes,1.712865021,1.722809901,1.783979604,1.722323516,1.736878963,1.627417422,1.888333739,1.816200065,1.793543982,1.990011425,2.490501006,2.39600271,2.283284055,2.369067075,2.522153157,2.386213385,2.312856429
4650,FP001184,(sp:Q6NSM8) Serine/threonine-protein kinase SIK3 homolog OS=Danio rerio GN=zgc:66101 PE=2 SV=1,3,,oocytes,1.578451392,1.501269119,1.635050238,1.518142151,1.686488527,1.613895341,1.760131395,1.671047799,1.730923792,1.707613488,2.103507273,2.029210862,1.895670658,2.102800387,2.137385978,1.972936083,2.079103582
4885,AM867657,(sp:Q9NXV2) BTB/POZ domain-containing protein KCTD5 OS=Homo sapiens GN=KCTD5 PE=1 SV=1,3,female gonad,oocytes,0.950126656,0.942246308,1.050077746,0.892177233,1.034696182,0.948488119,1.011869115,1.033362312,1.000257373,1.150926654,1.391502361,1.491077836,1.454820607,1.456991191,1.369894088,1.499243285,1.370471973
5133,CU984254,0,3,,oocytes,-0.213636295,-0.180458564,-0.193187536,-0.245075182,-0.083954021,-0.1590577,-0.353480471,-0.167118933,-0.097955172,-0.25245885,0.334139894,0.271235661,0.138977056,0.283872501,0.217866248,0.187655873,0.228402871
5623,AM857917,(sp:P46060) Ran GTPase-activating protein 1 OS=Homo sapiens GN=RANGAP1 PE=1 SV=1,3,female gonad,oocytes,0.87759443,0.773248154,0.912128717,0.711961668,0.82518123,0.695243264,0.821098665,0.870213094,0.779482789,0.988682813,1.236364303,1.355229857,1.14589713,1.27412182,1.318049129,1.301140963,1.276501931
5964,CU989923,0,3,,oocytes,1.836643664,1.731211894,1.804383932,1.738058742,1.916328241,1.682389238,1.938595674,1.821050592,1.862929519,2.06187628,2.442255819,2.363223014,2.211704025,2.219900917,2.402947809,2.275924189,2.173047508
6000,AM854101,"(sp:Q6PDU1) Splicing factor, arginine/serine-rich 2 OS=Rattus norvegicus GN=Sfrs2 PE=1 SV=3",3,,oocytes,2.100613184,2.043410174,2.248586248,2.029822463,2.150802005,1.974788113,2.152119942,2.1434038,2.130540177,2.238199329,2.41036163,2.341069474,2.413502613,2.311817512,2.500858572,2.424620754,2.326325079
6118,CU996984,(sp:P25183) Regulator of chromosome condensation OS=Xenopus laevis GN=rcc1 PE=2 SV=1,3,female gonad,oocytes,1.126895253,1.055022395,1.11361382,1.21151734,1.115259206,1.007605166,0.974886099,1.161434321,1.199259798,1.446005146,1.838168488,1.753502506,1.566354443,1.579919585,1.689908256,1.582260341,1.529504568
6329,AM867260,(sp:B4F7A7) Centrosomal protein of 57 kDa OS=Rattus norvegicus GN=Cep57 PE=1 SV=2,3,female gonad,oocytes,1.057127717,1.418568261,1.30948423,1.219163154,1.354037191,1.335022356,1.416114901,1.308641634,1.429234989,1.515694921,1.870706641,1.964814176,1.648841525,1.86369199,1.912586436,1.806384279,1.836699101
6731,AM859956,0,3,,oocytes,0.822634282,0.778787955,1.008745575,0.713881077,0.956348656,0.608443586,0.845291788,0.872117493,0.72853049,1.062671286,1.379290018,1.416744506,1.410421217,1.354971436,1.363661634,1.482566371,1.24980102
6946,AM857527,(sp:Q6PFK1) Zinc finger protein 598 OS=Danio rerio GN=znf598 PE=1 SV=2,3,,oocytes,1.015849832,1.055501558,1.107645329,0.925326909,0.916469218,0.837917791,1.074671558,0.905610101,1.052330069,1.276807197,1.462667702,1.448349683,1.516433868,1.396572703,1.500351023,1.324566069,1.303907783
7475,AM858733,(sp:Q689Z5) Protein strawberry notch homolog 1 OS=Mus musculus GN=Sbno1 PE=1 SV=2,3,,oocytes,1.833564122,1.776255561,1.808720463,1.829363394,1.905513792,1.573148649,1.843696732,1.765200746,1.873027912,2.11183826,2.340447545,2.303939027,2.483272752,2.421664867,2.48317873,2.425124711,2.141155208
7514,BQ426234,PREDICTED: hypothetical protein [Strongylocentrotus purpuratus],3,,somatic,1.166930478,1.462249359,1.45438277,1.463012007,1.412617553,1.4466419,1.342658471,1.346445518,1.322059879,1.226644741,1.042342072,1.052107859,0.960021208,0.919834016,1.066938436,0.930138569,1.150620366
7685,ES789658,0,3,,oocytes,2.041887054,2.061952756,2.116084604,1.99162208,2.151530875,1.986171291,2.268265433,2.109827121,2.156988185,2.238669427,2.509807331,2.407335483,2.438952249,2.465532549,2.669219457,2.416528757,2.391691285
10795,AM866190,0,3,,oocytes,0.105634811,-0.0327473,0.055490829,-0.113013607,0.114096353,-0.318545574,-0.160803112,0.038962097,-0.185581343,0.307681165,0.821910589,0.733915715,0.896217106,0.655998175,0.511144338,0.851817268,0.59308575
10854,AM856223,0,3,female gonad,oocytes,1.09867912,1.049525142,1.145753585,1.116769125,1.238354541,0.982965924,1.160670453,1.061677665,1.180816576,1.432294815,1.521212209,1.648986213,1.751690565,1.576500833,1.578458483,1.592981751,1.495317908
11947,ES789192,0,3,,oocytes,1.570968634,1.646296006,1.620216735,1.579521826,1.539834124,1.432300021,1.784043995,1.515419675,1.773516161,1.840598065,1.989757607,2.091875449,2.16545809,2.100240806,2.325229049,2.091148236,2.117379403
12496,AM859160,0,3,female gonad,oocytes,1.113239161,1.264226244,1.21159653,1.248061883,1.220697194,1.016690838,1.388661317,1.144177536,1.266617023,1.539604464,1.845832735,1.846853724,1.560683099,1.787476554,1.823736904,1.688891123,1.615928603
12818,AM865563,(sp:Q6VFT6) Forkhead box protein L2 OS=Sus scrofa GN=FOXL2 PE=4 SV=1,3,,oocytes,0.991600434,0.579131862,0.923966824,0.887757666,0.86263334,0.535161327,0.514803687,0.754143493,0.961945886,1.289619015,1.479810433,1.467993613,1.324461596,1.594789382,1.577682228,1.515487911,1.547104365
13706,EW778120,0,3,,oocytes,1.383272972,1.51419702,1.486265362,1.504711233,1.442460694,1.375347733,1.731667006,1.495591808,1.54123542,1.568918511,1.893677102,1.888645491,1.836235613,1.74566505,2.037482343,1.831556528,1.875371272
14630,AM862117,0,3,,oocytes,1.260692735,0.982083845,1.318663889,1.151942529,1.385664767,1.003406859,1.450708966,1.168465706,1.284921681,1.508681717,2.107716984,2.117259515,1.813946053,2.127068377,2.018579184,1.92412788,1.932252597
15312,FP002353,(sp:Q8IY18) Structural maintenance of chromosomes protein 5 OS=Homo sapiens GN=SMC5 PE=1 SV=2,3,female gonad,oocytes,1.768605242,1.697206914,1.880253423,1.86957882,1.85657314,1.76598573,2.004382808,1.952280004,1.929437443,2.016879452,2.583587222,2.427074806,2.431339324,2.372734795,2.668476934,2.400531262,2.500623627
16194,AM237787,0,3,female gonad,oocytes,1.683379363,1.636548775,1.650060987,1.770208922,1.722157468,1.536005418,1.701569436,1.607408632,1.798482792,1.937094214,2.370906793,2.341556091,2.275297059,2.190710085,2.441981946,2.211608294,2.201420146
19566,AM854615,(sp:P61801) Aprataxin OS=Xenopus tropicalis GN=aptx PE=2 SV=1,3,female gonad,oocytes,1.212577161,1.195365229,1.313051596,1.144581383,1.262806786,1.134428211,1.315890486,1.222370585,1.217541865,1.373758173,1.922097611,1.627079642,1.67966398,1.763908384,1.877960874,1.612325112,1.70561336
19703,AM861911,0,3,,oocytes,1.070728908,0.845236664,1.110793394,0.949315398,1.047609244,0.780309072,1.265672702,0.998995756,1.180679718,1.390714765,1.855799685,1.879758689,1.610656947,1.693714334,1.729522469,1.687574454,1.597735751
